카드사,상품명,전월실적,연회비(국내),연회비(국내외),모든가맹점,교통,주유,마트/편의점,쇼핑,푸드,배달,카페/디저트,뷰티/피트니스,생활요금,의료,애완동물,자동차/하이패스,레져/스포츠,영화/문화,간편결제,항공,프리미엄,여행/숙박,해외,디지털구독,멤버십,교육/육아,금융,기타
신한,신한카드 MY CAR,40,2.7,3,,,1,,,,,1,,,,,1,,,,,,,,,,,,
신한,신한카드 핏(Fit),40,1.5,1.8,,,,1,,,,1,,,,,,,,,,,,,,,,,
신한,New LG전자 베스트샵 PLUS 신한카드,50,1,1.2,,,,,1,,,,,,,,,1,,,,1,,,,,,,1
신한,마이 홈플러스 신한카드,0,1.2,1.5,,,,1,,,,,,1,,,,,1,,,,,,,,,,
신한,GS Prime 신한카드,0,1.5,1.8,1,,,,1,,,,,,,,,,,,,,,,,,,,
신한,LG트윈스 신한카드,0,,1,,,,,1,,,,,,,,,1,1,,,,,,,,,,
신한,SPOTV NOW 신한카드 구독 좋아요,40,1.5,1.8,,,,,,,1,,,1,,,,,,,,,,,1,,,,
신한,신한카드 플리,0,1.5,1.8,1,,,,,,,,,,,,,,,,,,,,,,,,
신한,신한카드 Deep Taking,40,2,2,,1,1,,1,1,,,,1,,,,,,,,,,1,,,1,,
신한,신한카드 Eats More(곰표),40,1.5,1.8,1,,,,,,1,,,,,,,,,,,,,,,,,1,
신한,신한카드 The PREMIER GOLD EDITION (아시아나클럽),0,,190,,,,,1,,,,,,,,,1,,,1,,1,,,,,,
신한,신한카드 알뜰More(알뜰모아),40,2,2.3,,,,,,,,,,1,,,,,,,,,,,,,,,
신한,위메프페이 신한카드,0,,1.2,,,,,,,,,,,,,,,,1,,,,,,,,,
신한,IKEA(이케아) Family with 신한카드,30,1.5,1.8,,,,1,1,,,1,,1,,,,,1,,,,,,,,,,
신한,SOCAR 제휴 SOCAR 신한카드,30,,1.3,,1,,1,,,,1,,,,,1,,,,,,,,,,,,
신한,다이소 신한카드,30,,1,,,,1,1,,,1,,,,,,,1,,,,,,,,,,
